Time Pressure difference Time.1 Pressure.1 difference.1
(hr) (psi) (hr) (psi)
0.000200000000006639311 0.28372628219963569 0.000200000000006639311 0.22405700462616823
0.000399999999999067768 0.51498068702031941 0.000399999999999067768 0.44320408674784945
0.000600000000005707079 0.72067227103627163 0.000600000000005707079 0.59359420967380239
0.000799999999998135536 0.90905109170825793 0.000799999999998135536 0.72875123840208822
0.001007140329434719206 1.09047582113206021 0.001007140329434719206 0.85645192783508961
0.001267914553963578328 1.30345769915788989 0.001267914553963578328 1.00307385506496738
0.001596209851982166583 1.55240238812441422 0.001596209851982166583 1.16976745583120545
0.002009509145224797066 1.84214669497502004 0.002009509145224797066 1.35847828864821474
0.002529822128138903281 2.17799186252130283 0.002529822128138903281 1.57131763416639347
0.003184857364431081805 2.56574643542642011 0.003184857364431081805 1.81060931170649497
0.004009497869020606231 3.01178104503151367 0.004009497869020606231 2.07894582841162245
0.005047658755842121536 3.52309703973988775 0.005047658755842121536 2.37925177909926688
0.006354625877790454069 4.10741033501753616 0.006354625877790454069 2.71485212234449724
0.008000000000009777068 4.77325130033646250 0.008000000000009777068 3.08954325875824498
0.010071403294347192059 5.53008107975493779 0.010071403294347192059 3.50766553728662123
0.012679145539706837553 6.38842449926148426 0.012679145539706837553 3.97417591959125804
0.015962098519750611558 7.36001932816503412 0.015962098519750611558 4.49471743425718806
0.020095091452091651263 8.45798043464111515 0.020095091452091651263 5.07567941745804330
0.025298221281360611101 9.69697575112534871 0.025298221281360611101 5.72425088970181228
0.031848573644296607199 11.09341354999984119 0.031848573644296607199 6.44850201706755488
0.040094978690177640601 12.66565386390139203 0.040094978690177640601 7.25755951398777999
0.050476587558421215363 14.43427361941476228 0.050476587558421215363 8.16187813738024026
0.063546258777961384112 16.42239893862455702 0.063546258777961384112 9.17338100751078223
0.079999999999998294697 18.65602905839065428 0.079999999999998294697 10.30497597270158749
0.100714032943542974863 21.16413793881561389 0.100714032943542974863 11.56900071148882070
0.126791455396897845276 23.97827170846949940 0.126791455396897845276 12.97466153162991809
0.159620985197506115583 27.13145779096297971 0.159620985197506115583 14.52535685127879717
0.200950914520760193227 30.65655390826106341 0.200950914520760193227 16.21719269974083133
0.252982212813478213320 34.58445399820842425 0.252982212813478213320 18.03986981060407757
0.318485736442795541734 38.94282013761961991 0.318485736442795541734 19.97852903383412482
0.400949786901833249431 43.75510547438528164 0.400949786901833249431 22.01972329325940336
0.504765875584155310207 49.04198461342398474 0.504765875584155310207 24.15341530296045391
0.635462587779443310865 54.82123409121236790 0.635462587779443310865 26.37570197677824879
0.799999999999997157829 61.11032148890019045 0.799999999999997157829 28.69275513724023696
1.007140329435344483500 67.92796804903265695 1.007140329435344483500 31.12574071382391239
1.267914553968893187630 75.29878999077024559 1.267914553968893187630 33.68328049003334002
1.596209851975103788391 83.24210147057770826 1.596209851975103788391 36.41574443541168904
2.009509145207672986544 91.80081135669216508 2.009509145207672986544 39.34542720488252598
2.529822128134711078928 100.99833543299665450 2.529822128134711078928 42.52266052041582611
3.184857364427998049905 110.89179709999363865 3.184857364427998049905 46.01718969544528903
4.009497869018190385759 121.52487692711508771 4.009497869018190385759 49.84644869786206556
5.009497869018204596614 132.55863525928688773 5.009497869018204596614 53.89107644171988909
6.009497869018204596614 142.15161164011365713 6.009497869018204596614 57.44174070331533244
7.009497869018204596614 150.67670868061270539 7.009497869018204596614 60.60409821442191713
8.009497869018204596614 158.36795294632992182 8.009497869018204596614 63.43805463907065700
9.009497869018204596614 165.38356540184400956 9.009497869018204596614 65.99634283227891274
